Property_type;Property_city;Property_location;Bedrooms;Bathrooms;Parking_space;Floor_size;Estate Agent;Property_price
2 Bedroom Apartment;Centurion;Celtisdal;2;1;1;64 m²;BC Rentals & Sales;8500
Apartment;Centurion;Zwartkop Golf Estate;1;1;2;78 m²;BC Rentals & Sales;6300
1 Bedroom Apartment;Centurion;Eldo Lakes Estate;2;1;2;30 m²;Be Prop;7000
2 Bedroom Apartment;Centurion;Hereford Estate;1;1;1;52 m²;Keller Williams Action;11000
2 Bedroom Apartment;Centurion;Die Hoewes;2;1;2;73 m²;BC Rentals & Sales;8000
2 Bedroom Apartment;Centurion;Irene;2;1;1;73 m²;CSi Property Group;11800
2 Bedroom Apartment;Centurion;Celtisdal;2;2;2;82 m²;BC Rentals & Sales;8800
2 Bedroom Apartment;Centurion;Amberfield;2;2;1;104 m²;BC Rentals & Sales;9700
2 Bedroom Apartment;Centurion;Pierre Van Ryneveld;2;1;1;60 m²;BC Rentals & Sales;8100
2 Bedroom Apartment;Centurion;Celtisdal;2;1;2;100 m²;CSi Property Group;9300
2 Bedroom Apartment;Centurion;Celtisdal;2;1;2;83 m²;RE/MAX Infoglobe - Centurion;8500
3 Bedroom Apartment;Centurion;Celtisdal;2;1;2;78 m²;RE/MAX Capital;11500
2 Bedroom Apartment;Centurion;Celtisdal;3;1;2;138 m²;;9300
2 Bedroom Apartment;Centurion;Irene;2;2;1;78 m²;;10300
2 Bedroom Apartment;Centurion;Zwartkop Golf Estate;2;1;1;76 m²;;10500
2 Bedroom Apartment;Centurion;Amberfield;2;1;;75 m²;;10600
2 Bedroom Apartment;Centurion;Pierre Van Ryneveld;2;1;;60 m²;;9100
1 Bedroom Apartment;Centurion;Valhalla;2;1;;100 m²;;4500
2 Bedroom Apartment;Centurion;Raslouw;1;1;;20 m²;;9750
1 Bedroom Apartment;Centurion;Centurion Central;2;1;;80 m²;;5900
2 Bedroom Apartment;Centurion;Heuweloord;2;1;2;56 m²;CSi Property Group;7600
3 Bedroom Apartment;Centurion;Celtisdal;3;2;1;138 m²;CSi Property Group;11500
2 Bedroom Apartment;Centurion;Heuweloord;2;1;3;56 m²;CSi Property Group;8300
1 Bedroom Apartment;Centurion;Pierre Van Ryneveld;1;1;2;60 m²;BC Rentals & Sales;7500
2 Bedroom Apartment;Centurion;Highveld;2;1;2;34 m²;Just Property Summit;9300
Apartment;Centurion;Zwartkop Golf Estate;2;1;1;74 m²;CSi Property Group;6300
Apartment;Centurion;Monavoni;2;1;2;68 m²;Jawitz Centurion;7300
2 Bedroom Apartment;Centurion;Brooklands Lifestyle Estate;2;2;2;56 m²;CSi Property Group;6750
2 Bedroom Apartment;Centurion;Heuwelsig Estate;1;1;2;107 m²;CSi Property Group;7600
