Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Estate_Agent,Property_price
Apartment,Johannesburg,Bellevue,1,1,1,26,"Ithemba Property",1850
Apartment,Johannesburg,"Bellevue East",2,1,2,NULL,"Redcon Property Management",2500
Apartment,Johannesburg,"Bellevue East",3,1,2,NULL,"Pam Golding Properties - Hyde Park Rentals",1200
Apartment,Johannesburg,Berea,1,1,1,NULL,"Framework Property Services",3740
Apartment,Johannesburg,Berea,1,1,1,73,"Framework Property Services",3425
Apartment,Johannesburg,Berea,1,1,1,74,"AFHCO Holdings (Pty) Ltd Johannesburg",3120
Apartment,Johannesburg,Berea,3,1,2,67,"Renprop Residential",2000
Apartment,Johannesburg,Booysens,1,1,2,62,"Framework Property Services",3995
Apartment,Johannesburg,Braamfontein,1,1,1,32,"Chas Everitt Waterfall",6000
Apartment,Johannesburg,Braamfontein,1,1,2,123,"RE/MAX Evolve",5800
Apartment,Johannesburg,Bramley,1,1,1,33,"Redcon Property Management",5000
Apartment,Johannesburg,Bramley,1,1,1,96,"First Property Trust",6490
Apartment,Johannesburg,Brixton,1,1,1,27,"Mafadi Property Management Office",3300
Apartment,Johannesburg,"City & Suburban",1,1,1,106,"Zareena Kara Properties",2999
Apartment,Johannesburg,"City & Suburban",1,1,2,NULL,"Mafadi Property Management Office",3400
Apartment,Johannesburg,Cyrildene,1,3,2,189,"Redcon Property Management",3999
Apartment,Johannesburg,Hillbrow,1,1,1,NULL,"Framework Property Services",3250
Apartment,Johannesburg,Hillbrow,1,1,1,NULL,"RE/MAX Advantage",2750
Apartment,Johannesburg,Hillbrow,1,1,1,20,"Framework Property Services",2800
Apartment,Johannesburg,Hillbrow,1,1,1,25,"Framework Property Services",2350
Apartment,Johannesburg,Hillbrow,1,1,1,37,"Framework Property Services",2900
Apartment,Johannesburg,Hillbrow,1,1,1,40,"Ithemba Property",2350
Apartment,Johannesburg,Hillbrow,1,1,1,75,"Framework Property Services",3570
Apartment,Johannesburg,Hillbrow,1,1,2,NULL,"Framework Property Services",2800
Apartment,Johannesburg,Hillbrow,1,1,2,108,"Framework Property Services",2800
Apartment,Johannesburg,Hillbrow,1,1,2,58,"Framework Property Services",4583
Apartment,Johannesburg,Jeppestown,1,1,2,118,"Mafadi Property Management Office",1900
Apartment,Johannesburg,"Johannesburg Central",1,1,1,NULL,"City Property",3700
Apartment,Johannesburg,"Johannesburg Central",1,1,1,NULL,"Framework Property Services",3050
Apartment,Johannesburg,"Johannesburg Central",1,1,1,22,"AFHCO Holdings (Pty) Ltd Johannesburg",3950
Apartment,Johannesburg,"Johannesburg Central",1,1,1,3,"Mafadi Property Management Office",3000
Apartment,Johannesburg,"Johannesburg Central",1,1,1,30,"Jawitz Johannesburg North",4150
Apartment,Johannesburg,"Johannesburg Central",1,1,1,30,"RE/MAX Advantage",3200
Apartment,Johannesburg,"Johannesburg Central",1,1,1,33,"City Property",3850
Apartment,Johannesburg,"Johannesburg Central",1,1,1,50,"AFHCO Holdings (Pty) Ltd Johannesburg",3850
Apartment,Johannesburg,"Johannesburg Central",1,1,1,80,"Ithemba Property",2120
Apartment,Johannesburg,"Johannesburg Central",1,1,2,15,"Ithemba Property",2570
Apartment,Johannesburg,"Johannesburg Central",1,1,2,21,"Ithemba Property",2750
